,1
1552,牵念 
1553,迁怒 
1554,谴 
1555,谴责 
1556,歉然 
1557,歉甚 
1558,瞧不起 
1559,瞧不上 
1560,瞧不上眼 
1561,切齿 
1562,切齿痛恨 
1563,怯 
1564,怯阵 
1565,轻 
1566,轻忽 
1567,轻看 
1568,轻蔑 
1569,轻视 
1570,清算 
1571,穷极无聊 
1572,饶 
1573,饶人 
1574,饶恕 
1575,惹气 
1576,人身攻击 
1577,忍让 
1578,柔肠百结 
1579,柔肠寸断 
1580,如泣如诉 
1581,如丧考妣 
1582,如鲠在喉 
1583,辱骂 
1584,撒气 
1585,三心二意 
1586,丧胆 
1587,丧魂落魄 
1588,丧气 
1589,丧志 
1590,扫兴 
1591,杀气 
1592,傻眼 
1593,伤 
1594,伤悲 
1595,伤怀 
1596,伤神 
1597,伤心 
1598,慑 
1599,申斥 
1600,申讨 
1601,申饬 
1602,深恶痛绝 
1603,深以为异 
1604,声讨 
1605,生恐 
1606,生怕 
1607,生气 
1608,生疑 
1609,失悔 
1610,失节 
1611,失神 
1612,失望 
1613,失意 
1614,使性子 
1615,示不满 
1616,示不同意 
1617,示怒 
1618,势成骑虎 
1619,视同儿戏 
1620,视同蝼蚁 
1621,首鼠两端 
1622,受窘 
1623,疏 
1624,数落 
1625,数说 
1626,恕 
1627,恕宥 
1628,说 
1629,说不 
1630,说风凉话 
1631,说怪话 
1632,酸 
1633,酸楚 
1634,酸溜溜 
1635,缩头缩脑 
1636,谈虎色变 
1637,讨 
1638,讨厌 
1639,提心吊胆 
1640,啼笑皆非 
1641,体谅 
1642,体念 
1643,体惜 
1644,体恤 
1645,天怒人怨 
1646,挑刺儿 
1647,挑毛病 
1648,同病相怜 
1649,同情 
1650,痛 
1651,痛不欲生 
1652,痛斥 
1653,痛恶 
1654,痛恨 
1655,痛骂 
1656,痛惜 
1657,痛心 
1658,痛心疾首 
1659,痛责 
1660,投诉 
1661,兔死狐悲 
1662,颓 
1663,颓废 
1664,颓靡 
1665,颓然 
1666,颓丧 
1667,颓唐 
1668,唾骂 
1669,挖苦 
1670,玩 
1671,玩忽 
1672,玩世不恭 
1673,惋 
1674,惋惜 
1675,万箭穿心 
1676,万念俱灰 
1677,往心里去 
1678,望而生畏 
1679,微愠 
1680,唯恐 
1681,惟恐 
1682,为难 
1683,萎靡 
1684,委决不下 
1685,委靡 
1686,委屈 
1687,委罪 
1688,畏 
1689,畏忌 
1690,畏惧 
1691,畏葸 
1692,闻风丧胆 
1693,问心有愧 
1694,窝火 
1695,窝囊 
1696,窝气 
1697,窝心 
1698,无地自容 
1699,无精打采 
1700,无聊 
1701,无名火起 
1702,无视 
1703,无所谓 
1704,无心 
1705,无意 
